=== TARZAN PROTOKÓŁ RUCHU ===
TAKE_ID=TAKE_001
VERSION=v01
TITLE=Wejście aktora
TIME_UNIT=ms
SAMPLE_STEP_MS=10
ACTIVE_MODE=tREC
SIGNAL_COUNT=124

TIME_MS;TAKE_ID;VERSION;ACTIVE_MODE;EVENT_DRONE_RELEASE;MOTION__camera_horizontal__STEP_COUNT;MOTION__camera_horizontal__STEP;MOTION__camera_horizontal__DIR;MOTION__camera_horizontal__ENABLE;SIGNAL__play_p01_arm_h_auto_limit;SIGNAL__play_p02_arm_h_limit_right;SIGNAL__play_p03_arm_h_limit_left;SIGNAL__play_p04_arm_v_limit_up;SIGNAL__play_p05_cam_h_limit_right;SIGNAL__play_p06_cam_h_limit_left;SIGNAL__play_p07_cam_v_limit_up;SIGNAL__play_p08_cam_v_limit_down;SIGNAL__play_p09_arm_v_auto_limit;SIGNAL__play_p10_cam_tilt_limit;SIGNAL__play_p11_cart_limit_end;SIGNAL__play_p12_arm_v_limit_down;SIGNAL__play_p13_mass_reg_limit_add;SIGNAL__play_p14_drone_release;SIGNAL__play_p15_rrp_dir_h_res;SIGNAL__play_p16_action_led;SIGNAL__play_p17_bridge_rec_dir_x;SIGNAL__play_p18_bridge_rec_dir_y;SIGNAL__play_p19_bridge_rec_dir_z;SIGNAL__play_p20_bridge_rec_ctr_x;SIGNAL__play_p21_bridge_rec_ctr_y;SIGNAL__play_p22_bridge_rec_ctr_z;SIGNAL__play_p23_mass_reg_limit_remove;SIGNAL__play_p24_kb4;SIGNAL__play_p25_kb3;SIGNAL__play_p26_kb2;SIGNAL__play_p27_kb1;SIGNAL__play_p28_lcd_rw;SIGNAL__play_p29_lcd_rs;SIGNAL__play_p30_lcd_e;SIGNAL__play_p31_lcd_db7;SIGNAL__play_p32_lcd_db6;SIGNAL__play_p33_lcd_db5;SIGNAL__play_p34_lcd_db4;SIGNAL__play_p35_i2c_scl;SIGNAL__play_p36_i2c_sda;SIGNAL__play_p37_step_disconnect_manual;SIGNAL__play_p38_step_dir_arm_h;SIGNAL__play_p39_step_dir_arm_v;SIGNAL__play_p40_step_dir_arm_tilt;SIGNAL__play_p41_mass_reg_enable;SIGNAL__play_p42_res;SIGNAL__play_p43_res;SIGNAL__play_p44_res;SIGNAL__play_p45_rrp_pot_h;SIGNAL__play_p46_step_ctr_arm_h;SIGNAL__play_p47_rrp_pot_v;SIGNAL__play_p48_step_ctr_arm_v;SIGNAL__play_p49_step_ctr_arm_tilt;SIGNAL__play_p50_step_en_arm_h;SIGNAL__play_p51_step_en_arm_v;SIGNAL__play_p52_step_en_arm_tilt;SIGNAL__play_p53_rrp_en_res;SIGNAL__play_p54_reset_do_not_use;SIGNAL__play_p55_bridge_rec_enable;SIGNAL__rec_p01_copy_ctr_cam_h;SIGNAL__rec_p02_copy_ctr_cam_v;SIGNAL__rec_p03_copy_dir_cam_h;SIGNAL__rec_p04_copy_dir_cam_v;SIGNAL__rec_p05_copy_ctr_focus;SIGNAL__rec_p06_copy_ctr_tilt;SIGNAL__rec_p07_copy_dir_focus;SIGNAL__rec_p08_copy_dir_tilt;SIGNAL__rec_p09_led_data;SIGNAL__rec_p10_led_latch;SIGNAL__rec_p11_led_clk;SIGNAL__rec_p12_rec_dir_arm_h;SIGNAL__rec_p13_rec_dir_arm_v;SIGNAL__rec_p14_poextbus_motor_en;SIGNAL__rec_p15_rec_ctr_arm_h;SIGNAL__rec_p16_rec_ctr_arm_v;SIGNAL__rec_p17_bridge_play_dir_x;SIGNAL__rec_p18_bridge_play_dir_y;SIGNAL__rec_p19_bridge_play_dir_z;SIGNAL__rec_p20_bridge_play_ctr_x;SIGNAL__rec_p21_bridge_play_ctr_y;SIGNAL__rec_p22_bridge_play_ctr_z;SIGNAL__rec_p23_poextbus_p23;SIGNAL__rec_p24_free;SIGNAL__rec_p25_poextbus_p25;SIGNAL__rec_p26_poextbus_p26;SIGNAL__rec_p27_free_limit_res;SIGNAL__rec_p28_lcd_rw;SIGNAL__rec_p29_lcd_rs;SIGNAL__rec_p30_lcd_e;SIGNAL__rec_p31_lcd_db7;SIGNAL__rec_p32_lcd_db6;SIGNAL__rec_p33_lcd_db5;SIGNAL__rec_p34_lcd_db4;SIGNAL__rec_p35_free_keyboard_old;SIGNAL__rec_p36_mass_reg_enable;SIGNAL__rec_p37_bridge_play_rec_in;SIGNAL__rec_p38_auto_enable;SIGNAL__rec_p39_shock_sensor;SIGNAL__rec_p40_free_limit_res;SIGNAL__rec_p41_free_aux_pot;SIGNAL__rec_p42_free_keyboard_old;SIGNAL__rec_p43_free_keyboard_old;SIGNAL__rec_p44_free_keyboard_old;SIGNAL__rec_p45_sw_f1;SIGNAL__rec_p46_led_f1;SIGNAL__rec_p47_sw_f2;SIGNAL__rec_p48_led_f2;SIGNAL__rec_p49_sw_f3;SIGNAL__rec_p50_led_f3;SIGNAL__rec_p51_sw_f4;SIGNAL__rec_p52_led_f4;SIGNAL__rec_p53_copy_cam_v_limit_up;SIGNAL__rec_p54_bridge_play_rec_out;SIGNAL__rec_p55_free_cart_spare;SIGNAL__cnc_x_cam_h_ctr;SIGNAL__cnc_x_cam_h_dir;SIGNAL__cnc_y_cam_v_ctr;SIGNAL__cnc_y_cam_v_dir;SIGNAL__cnc_z_focus_ctr;SIGNAL__cnc_z_focus_dir;SIGNAL__cnc_a_arm_tilt_ctr;SIGNAL__cnc_a_arm_tilt_dir;SIGNAL__cnc_b_arm_h_ctr;SIGNAL__cnc_b_arm_h_dir;SIGNAL__cnc_c_arm_v_ctr;SIGNAL__cnc_c_arm_v_dir;SIGNAL__cnc_d_cart_ctr;SIGNAL__cnc_d_cart_dir
880;TAKE_001;v01;tREC;0;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
890;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
900;TAKE_001;v01;tREC;0;14;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
910;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
920;TAKE_001;v01;tREC;0;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
930;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
940;TAKE_001;v01;tREC;0;14;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
950;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
960;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
970;TAKE_001;v01;tREC;0;14;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
980;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
990;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1000;TAKE_001;v01;tREC;0;14;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1010;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1020;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1030;TAKE_001;v01;tREC;0;13;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1040;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1050;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1060;TAKE_001;v01;tREC;0;13;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1070;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1080;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1090;TAKE_001;v01;tREC;0;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1100;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1110;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1120;TAKE_001;v01;tREC;0;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1130;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1140;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1150;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1160;TAKE_001;v01;tREC;0;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1170;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1180;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1190;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1200;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1210;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1220;TAKE_001;v01;tREC;0;11;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1230;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1240;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1250;TAKE_001;v01;tREC;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1260;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1270;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1280;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1290;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1300;TAKE_001;v01;tREC;0;7;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1310;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1320;TAKE_001;v01;tREC;0;7;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1330;TAKE_001;v01;tREC;0;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1340;TAKE_001;v01;tREC;0;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1350;TAKE_001;v01;tREC;0;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1360;TAKE_001;v01;tREC;0;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
1370;TAKE_001;v01;tREC;0;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;1;1;1;0;;0;;;0;0;;;0;0;;;;0;0;;0;0;0;0;0;;;;;;;;0;;;;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;0;;0;;0
